name,ufc_bouts_1993_2009,years,why_not_in_game,first_event
Mike Nickels,2,2006-2007,no ESPN profile,The Ultimate Fighter 3 Finale
Moti Horenstein,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 10
Naoyuki Kotani,2,2007,no ESPN profile,UFC 75
Nate Loughran,2,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Nick Thompson,2,2005-2006,no ESPN profile,UFC 56
Paul Jones,2,1999,"ESPN profile lacks nationality, DOB, height",UFC 21
Phillip Miller,2,2002,"ESPN profile lacks nationality, DOB, height",UFC 38
Razak Al-Hassan,2,2008-2009,no ESPN profile,UFC 104
Remco Pardoel,2,1994-1995,"ESPN profile lacks nationality, DOB, height",UFC 2
Rick Story,2,2009,no ESPN profile,UFC 103
Rob Yundt,2,2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Roberto Traven,2,1996-2001,no ESPN profile,UFC 11
Roman Mitichyan,2,2007-2008,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Ross Pearson,2,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Ross Pointon,2,2006-2007,no ESPN profile,The Ultimate Fighter 3 Finale
Ryan Thomas,2,2008,no ESPN profile,UFC 87
Sam Fulton,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 11
Sam Morgan,2,2005-2006,no ESPN profile,The Ultimate Fighter 2 Finale
Samy Schiavo,2,2008,"ESPN profile lacks nationality, height",UFC 89
Scott Bessac,2,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
Sean Salmon,2,2007,no ESPN profile,UFC 71
Semmy Schilt,2,2001,ESPN profile lacks nationality,UFC 31
Seth Petruzelli,2,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Steve Judson,2,1999-2000,"ESPN profile lacks nationality, DOB, height",UFC 22
Steve Nelmark,2,1996,"ESPN profile lacks nationality, DOB, height",UFC 9
Tai Bowden,2,1996,"ESPN profile lacks nationality, DOB, height",UFC 9
Tedd Williams,2,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Tim Hague,2,2009,no ESPN profile,UFC 102
Tom Lawlor,2,2008-2009,ESPN profile complete,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Tom Speer,2,2007-2008,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Travis Fulton,2,1999,no ESPN profile,UFC 20
Travis Wiuff,2,2002-2005,no ESPN profile,UFC 40
Trent Jenkins,2,1993-1995,"ESPN profile lacks nationality, DOB",UFC 1
Valeri Ignatov,2,1999,"ESPN profile lacks nationality, DOB, height",UFC 19
Vernon White,2,2003-2004,no ESPN profile,UFC 43
Victor Valimaki,2,2006-2007,no ESPN profile,UFC 70
Vinny Magalhães,2,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Wes Combs,2,2006,no ESPN profile,The Ultimate Fighter 3 Finale
Xavier Foupa-Pokam,2,2009,no ESPN profile,UFC 97
Aaron Brink,1,2000,"ESPN profile lacks division, nationality, DOB, height",UFC 28
Adrian Serrano,1,2000,no ESPN profile,UFC 26
Adriano Santos,1,1998,"ESPN profile lacks nationality, DOB, height",UFC Brazil
Alberto Cerro Leon,1,1994,no ESPN profile,UFC 2
Alex Andrade,1,2000,no ESPN profile,UFC 26
Alex Schoenauer,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Alex Stiebling,1,2000,no ESPN profile,UFC 28
Alexandre Barros,1,2009,no ESPN profile,UFC 93
Alfonso Alcarez,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 22
Allan Góes,1,1998,no ESPN profile,UFC 17
Allen Berube,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter 5 Finale
André Pederneiras,1,1999,no ESPN profile,UFC 21
Andy Anderson,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Andy Wang,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
Asbel Cancio,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Ben Earwood,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 28
Bill Mahood,1,2005,"ESPN profile lacks division, nationality",UFC 53
Billy Miles,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Bob Cook,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Bob Gilstrap,1,1998,no ESPN profile,UFC 17
Bobby Southworth,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Brandon Melendez,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
Brian Cobb,1,2009,no ESPN profile,UFC 95
Brian Gassaway,1,2005,no ESPN profile,UFC 54
Brian Geraghty,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
CJ Fernandes,1,2000,no ESPN profile,UFC 27
Cale Yarbrough,1,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Cameron Dollar,1,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Carlos Barreto,1,1997,no ESPN profile,UFC 15
Cesar Marscucci,1,1998,"ESPN profile lacks nationality, DOB, height",UFC Brazil
Chase Gormley,1,2009,no ESPN profile,UFC 104
Chris Condo,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 20
Chris Haseman,1,2002,ESPN profile lacks nationality,UFC 38
Chris Liguori,1,2003,no ESPN profile,UFC 45
Cory Walmsley,1,2006,"ESPN profile lacks nationality, DOB, height",UFC 62
Courtney Turner,1,1998,"ESPN profile lacks nationality, DOB, height",UFC 16
Dan Barrera,1,2007,ESPN profile lacks nationality,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Dan Bobish,1,1997,no ESPN profile,UFC 14
Dan Lauzon,1,2006,no ESPN profile,UFC 64
Danillo Villefort,1,2009,no ESPN profile,UFC 101
Dante Rivera,1,2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Darrell Gholar,1,1999,no ESPN profile,UFC 18
Darrill Schoonover,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Dave Berry,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 11
Dave Roberts,1,1999,no ESPN profile,UFC 20
David Baron,1,2008,no ESPN profile,UFC 89
David Hood,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
David Levicki,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
David Velasquez,1,2000,no ESPN profile,UFC 24
Derek Downey,1,2009,ESPN profile lacks nationality,UFC Fight Night: Lauzon vs. Stephens
Derrick Noble,1,2006,no ESPN profile,UFC 59
Dieuseul Berto,1,1996,no ESPN profile,UFC 10
Dmitri Stepanov,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 13
Donnie Chappell,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 14
Dorian Price,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Dwayne Cason,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 15
Ebenezer Fontes Braga,1,1998,no ESPN profile,UFC Brazil
Eddie Ruiz,1,2003,"ESPN profile lacks nationality, DOB, height",UFC 43
Eldo Dias Xavier,1,1994,no ESPN profile,UFC 4
Emmanuel Yarbrough,1,1994,no ESPN profile,UFC 3
Enson Inoue,1,1997,no ESPN profile,UFC 13
Eric Martin,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 12
Ernie Verdicia,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Eugenio Tadeu,1,1998,"ESPN profile lacks nationality, DOB, height",UFC 16
Flavio Luiz Moura,1,1999,no ESPN profile,UFC 21
Floyd Sword,1,2007,"ESPN profile lacks nationality, DOB",The Ultimate Fighter 5 Finale
Francesco Maturi,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
Frank Caracci,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 18
Frank Hamaker,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Frank Lester,1,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Fred Ettish,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Fábio Gurgel,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 11
Gerald Strebendt,1,2003,no ESPN profile,UFC 44
Gerry Harris,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
Goran Reljic,1,2008,no ESPN profile,UFC 84
Greg Stott,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 15
Hayato Sakurai,1,2002,ESPN profile lacks nationality,UFC 36
He-Man Ali Gipson,1,1995,no ESPN profile,UFC 6
Homer Moore,1,2001,"ESPN profile lacks nationality, DOB, height",UFC 34
Houston Dorr,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 15
Hugo Duarte,1,1998,no ESPN profile,UFC 17
Icho Larenas,1,2006,no ESPN profile,UFC 58
Igor Pokrajac,1,2009,ESPN profile complete,UFC 103
Igor Zinoviev,1,1998,"ESPN profile lacks nationality, DOB, height",UFC 16
Ikuhisa Minowa,1,2000,no ESPN profile,UFC 25
Ivan Serati,1,2009,no ESPN profile,UFC 93
Jack McLaughlin,1,1995,no ESPN profile,UFC 6
Jackie Lee,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 12
Jacob Volkmann,1,2009,no ESPN profile,UFC 106
James Giboo,1,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
James Lee,1,2008,ESPN profile lacks nationality,UFC 80
James McSweeney,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
James Zikic,1,2002,no ESPN profile,UFC 38
Jared Hamman,1,2009,no ESPN profile,UFC 105
Jason Fairn,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 4
Jason Miller,1,2005,ESPN profile complete,UFC 52
Jason Thacker,1,2005,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter 1 Finale
Jay Silva,1,2009,no ESPN profile,UFC Fight Night: Diaz vs. Guillard
Jeff Curran,1,2004,ESPN profile complete,UFC 46
Jeff Newton,1,2005,"ESPN profile lacks nationality, DOB, height",UFC 56
Jermaine Andre,1,2000,no ESPN profile,UFC 24
Jesse Forbes,1,2006,no ESPN profile,The Ultimate Fighter 3 Finale
Jesse Lennox,1,2009,"ESPN profile lacks nationality, DOB, height",UFC 101
Jesse Sanders,1,2009,"ESPN profile lacks nationality, DOB, height",UFC Fight Night: Condit vs. Kampmann
Jesse Taylor,1,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Jim Mullen,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 12
Joao Marcos Pierini,1,2002,no ESPN profile,UFC 37.5
Joao Roque,1,2000,no ESPN profile,UFC 26
Joe Brammer,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Joe Jordan,1,2006,no ESPN profile,UFC 61
Joe Pardo,1,1998,no ESPN profile,UFC 17
Joey Gilbert,1,2001,"ESPN profile lacks division, nationality, DOB, height",UFC 31
Joey Roberts,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 19
John Campetella,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 10
John Dowdy,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
John Kolosci,1,2007,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
John Lober,1,1998,"ESPN profile lacks nationality, DOB, height",UFC Brazil
John Marsh,1,2005,no ESPN profile,UFC 52
John Matua,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 6
John Polakowski,1,2008,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Johnny Rhodes,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Jon Hess,1,1995,no ESPN profile,UFC 5
Jon Madsen,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Jonathan Wiezorek,1,2004,no ESPN profile,UFC 47
Jorge Patino,1,1999,no ESPN profile,UFC 18
Josh Hendricks,1,2008,no ESPN profile,UFC 91
Josh Rafferty,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Josh Schockman,1,2006,no ESPN profile,UFC 65
Josh Stuart,1,1998,no ESPN profile,UFC 16
Jules Bruchez,1,2008,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Julian Sanchez,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 11
Justin James,1,2006,"ESPN profile lacks nationality, DOB",UFC 64
Justin Martin,1,1997,no ESPN profile,UFC 12
Justin Wren,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Katsuhisa Fujii,1,1999,no ESPN profile,UFC 23
Kazushi Sakuraba,1,1997,no ESPN profile,UFC Japan: Ultimate Japan
Keigo Kunihara,1,2005,"ESPN profile lacks nationality, DOB, height",UFC 55
Keiichiro Yamamiya,1,1999,no ESPN profile,UFC 23
Keith Mielke,1,1996,no ESPN profile,UFC 8
Kerry Schall,1,2005,no ESPN profile,The Ultimate Fighter 2 Finale
Kimbo Slice,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Kit Cope,1,2005,no ESPN profile,The Ultimate Fighter 2 Finale
Koji Kitao,1,1996,no ESPN profile,UFC 9
Kristian Rothaermel,1,2006,"ESPN profile lacks nationality, DOB, height",UFC Ultimate Fight Night 5
Lee Murray,1,2004,no ESPN profile,UFC 46
Leigh Remedios,1,2002,no ESPN profile,UFC 38
Lodune Sincaid,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Logan Clark,1,2006,no ESPN profile,UFC Fight Night: Sanchez vs. Riggs
Lowell Anderson,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 22
Lucio Linhares,1,2009,no ESPN profile,UFC 107
Marcelo Aguiar,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 26
Marcelo Mello,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 20
Marcus Silveira,1,1997,no ESPN profile,UFC Japan: Ultimate Japan
Mario Neto,1,2006,no ESPN profile,UFC 63
Mark Hughes,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 28
Mark Robinson,1,2001,"ESPN profile lacks nationality, DOB, height",UFC 30
Masutatsu Yano,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 23
Matt Andersen,1,1996,no ESPN profile,UFC 9
Matt Mitrione,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Matt Riddle,1,2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Melton Bowen,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 4
Mike Brown,1,2004,"ESPN profile lacks nationality, DOB, height",UFC 47
Mike Wessel,1,2008,no ESPN profile,UFC 92
Mike Whitehead,1,2006,no ESPN profile,UFC 57
Minoki Ichihara,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Nate Schroeder,1,2000,no ESPN profile,UFC 26
Neil Grove,1,2009,no ESPN profile,UFC 95
Neil Wain,1,2008,no ESPN profile,UFC 89
Nick Agallar,1,2003,no ESPN profile,UFC 45
Nick Sanzo,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 12
Nick Serra,1,2002,"ESPN profile lacks nationality, DOB, height",UFC 37.5
Nissen Osterneck,1,2009,no ESPN profile,UFC Fight Night: Condit vs. Kampmann
Noe Hernandez,1,1998,"ESPN profile lacks nationality, DOB, height",UFC 17
Onassis Parungao,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
Orlando Wiet,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Pat Healy,1,2006,ESPN profile complete,UFC Fight Night: Sanchez vs. Parisyan
Paul Creighton,1,2002,"ESPN profile lacks nationality, DOB, height",UFC 37
Paul Daley,1,2009,no ESPN profile,UFC 103
Paul Georgieff,1,2007,"ESPN profile lacks nationality, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Paul Herrera,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 8
Paul Rodriguez,1,2001,no ESPN profile,UFC 32
Paulo Santos,1,1998,no ESPN profile,UFC Brazil
Phil Johns,1,2001,no ESPN profile,UFC 30
Rafael Carino,1,1996,no ESPN profile,UFC 9
Rainy Martinez,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 12
Ray Wizard,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Rex Holman,1,2007,"ESPN profile lacks nationality, DOB",UFC 68
Reza Nasri,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 11
Ricardo Funch,1,2009,no ESPN profile,UFC 107
Rich Crunkilton,1,2003,no ESPN profile,UFC 42
Richie Hightower,1,2007,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Rick Davis,1,2006,"ESPN profile lacks nationality, DOB, height",UFC 60
Robert Lucarelli,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Rodney Wallace,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Rodrigo Ruas,1,2002,no ESPN profile,UFC 37.5
Roland Payne,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 3
Romie Aram,1,2003,"ESPN profile lacks nationality, DOB, height",UFC 42
Ron Faircloth,1,2005,no ESPN profile,UFC 55
Ron van Clief,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 4
Ronald Jhun,1,2004,no ESPN profile,UFC 49
Roy Nelson,1,2009,ESPN profile complete,The Ultimate Fighter: Heavyweights Finale
Rudyard Moncayo,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 6
Ryan Madigan,1,2009,ESPN profile lacks nationality,UFC 96
Ryan Parker,1,1995,no ESPN profile,UFC 7
Ryan Roberts,1,2008,no ESPN profile,UFC Fight Night: Florian vs. Lauzon
Saeed Hosseini,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 13
Sanae Kikuta,1,2000,no ESPN profile,UFC 25
Satoshi Honma,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 25
Scott Adams,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Scott Baker,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Scott Fiedler,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 10
Scott Junk,1,2007,"ESPN profile lacks nationality, DOB, height",UFC 76
Scott Morris,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Sean Alvarez,1,2003,"ESPN profile lacks nationality, DOB, height",UFC 42
Sean Daugherty,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Sean Gannon,1,2005,"ESPN profile lacks nationality, DOB, height",UFC 55
Shane Primm,1,2008,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Sherman Pendergarst,1,2006,no ESPN profile,UFC 65
Sione Latu,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 19
Solomon Hutcherson,1,2006,no ESPN profile,The Ultimate Fighter 3 Finale
Steve Byrnes,1,2006,"ESPN profile lacks nationality, DOB, height",UFC Fight Night: Sanchez vs. Riggs
Steve Lopez,1,2009,no ESPN profile,UFC 103
Steve Vigneault,1,2006,"ESPN profile lacks nationality, DOB",UFC 58
Steven Graham,1,1997,"ESPN profile lacks nationality, DOB",UFC 13
Steven Lynch,1,2007,no ESPN profile,UFC 72
Thaddeus Luster,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
Thomas Ramirez,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 8
Tim McKenzie,1,2009,no ESPN profile,UFC Fight Night: Condit vs. Kampmann
Todd Butler,1,1997,no ESPN profile,UFC 14
Todd Duffee,1,2009,no ESPN profile,UFC 102
Todd Medina,1,1995,no ESPN profile,UFC 5
Tom Egan,1,2009,no ESPN profile,UFC 93
Tom Murphy,1,2006,no ESPN profile,UFC 58
Tony Petarra,1,1999,no ESPN profile,UFC 20
Tsuyoshi Kohsaka,1,1998,no ESPN profile,UFC 16
Tulio Palhares,1,1998,no ESPN profile,UFC Brazil
Tyrone Roberts,1,2000,no ESPN profile,UFC 26
Wade Shipp,1,2004,"ESPN profile lacks nationality, DOB, height",UFC 47
Wallid Ismail,1,1997,no ESPN profile,UFC 12
Wes Albritton,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 13
Yoshihiro Akiyama,1,2009,ESPN profile complete,UFC 100
Yoshiki Takahashi,1,1997,no ESPN profile,UFC 12
Yuki Sasaki,1,2006,no ESPN profile,UFC Fight Night: Sanchez vs. Parisyan
Yuri Vaulin,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 14
Zach Light,1,2002,no ESPN profile,UFC 37.5
